id,name,sex,nationality,height,weight,age_2024,distance_m,sim_pace_sec_per_100m,sim_time_sec
382571888,Aaron Younger,male,AUS,1.93,100.0,33,400,61.31,245.25
382571888,Aaron Younger,male,AUS,1.93,100.0,33,800,66.62,533.0
382571888,Aaron Younger,male,AUS,1.93,100.0,33,200,56.99,113.98
162792594,Abbey Weitzeil,female,USA,1.78,68.0,28,1500,66.59,998.83
162792594,Abbey Weitzeil,female,USA,1.78,68.0,28,400,60.53,242.12
162792594,Abbey Weitzeil,female,USA,1.78,68.0,28,200,55.55,111.09
189931373,Abdelaziz Mohamed Ahmed,male,SUD,1.81,72.0,30,200,56.07,112.15
702606719,Abdoul Khadre Mbaye Niane,male,SEN,1.9,90.0,36,400,62.61,250.43
884912136,Abigail Johnston,female,USA,1.66,61.0,35,200,58.2,116.41
884912136,Abigail Johnston,female,USA,1.66,61.0,35,400,61.33,245.34
884912136,Abigail Johnston,female,USA,1.66,61.0,35,1500,66.37,995.48
256805041,Adam Decker,male,HUN,2.03,115.0,40,400,65.97,263.88
561951036,Adam Peaty,male,GBR,1.93,88.0,30,400,55.2,220.8
561951036,Adam Peaty,male,GBR,1.93,88.0,30,800,63.92,511.35
561951036,Adam Peaty,male,GBR,1.93,88.0,30,1500,65.41,981.13
846863992,Adam Telegdy,male,HUN,1.94,77.0,29,400,55.17,220.67
266751447,Adam Viktora,male,SEY,1.88,94.0,28,1500,63.67,955.05
266751447,Adam Viktora,male,SEY,1.88,94.0,28,800,64.63,517.01
787208883,Adrian Baches,male,BRA,1.84,83.0,34,800,64.23,513.82
787208883,Adrian Baches,male,BRA,1.84,83.0,34,200,56.38,112.75
835610998,Adzo Rebecca Kpossi,female,TOG,1.58,53.0,25,1500,63.73,955.9
835610998,Adzo Rebecca Kpossi,female,TOG,1.58,53.0,25,400,55.87,223.46
477738986,Africa Zamorano Sanz,female,ESP,1.7,58.0,26,1500,63.48,952.2
477738986,Africa Zamorano Sanz,female,ESP,1.7,58.0,26,400,57.18,228.72
971796358,Aglaia Pezzato,female,ITA,1.75,60.0,30,400,56.99,227.95
942902378,Ahmad Amsyar Azman,male,MAS,1.62,62.0,32,400,54.81,219.24
942902378,Ahmad Amsyar Azman,male,MAS,1.62,62.0,32,200,55.26,110.51
942902378,Ahmad Amsyar Azman,male,MAS,1.62,62.0,32,1500,63.88,958.15
873200853,Ahmed Akram,male,EGY,1.88,80.0,28,800,61.93,495.47
873200853,Ahmed Akram,male,EGY,1.88,80.0,28,1500,63.3,949.53
873200853,Ahmed Akram,male,EGY,1.88,80.0,28,400,56.69,226.75
114527133,Ahmed Mathlouthi,male,TUN,1.9,90.0,35,400,61.75,246.99
248085477,Aidan Roach,male,AUS,1.87,88.0,34,400,57.2,228.8
248085477,Aidan Roach,male,AUS,1.87,88.0,34,800,64.52,516.14
743883365,Aika Hakoyama,female,JPN,1.76,62.0,33,400,59.48,237.92
743883365,Aika Hakoyama,female,JPN,1.76,62.0,33,1500,69.06,1035.84
743883365,Aika Hakoyama,female,JPN,1.76,62.0,33,800,63.96,511.66
574808106,Aiko Hayashi,female,JPN,1.66,56.0,31,200,57.38,114.76
266091485,Aimee Willmott,female,GBR,1.71,66.0,31,800,63.61,508.86
266091485,Aimee Willmott,female,GBR,1.71,66.0,31,400,61.42,245.66
266091485,Aimee Willmott,female,GBR,1.71,66.0,31,1500,69.09,1036.34
840071617,Aisen Chen,male,CHN,1.68,60.0,29,800,63.07,504.57
191963338,Aitor Martinez Rodriguez,male,ESP,1.83,78.0,31,200,55.18,110.36
191963338,Aitor Martinez Rodriguez,male,ESP,1.83,78.0,31,400,59.08,236.34
191963338,Aitor Martinez Rodriguez,male,ESP,1.83,78.0,31,1500,62.82,942.37
504635619,Ajna Kesely,female,HUN,1.65,54.0,23,200,54.73,109.45
504635619,Ajna Kesely,female,HUN,1.65,54.0,23,1500,64.15,962.2
816408353,Akira Yanase,male,JPN,1.91,95.0,36,1500,66.29,994.33
551413911,Albachir Mouctar,male,NIG,1.78,76.0,29,400,57.23,228.92
930879907,Albert Espanol Lifante,male,ESP,1.89,86.0,39,400,58.95,235.78
930879907,Albert Espanol Lifante,male,ESP,1.89,86.0,39,800,63.46,507.68
389597142,Albert Puig Garrich,male,ESP,1.84,78.0,30,800,60.19,481.55
389597142,Albert Puig Garrich,male,ESP,1.84,78.0,30,1500,63.81,957.09
389597142,Albert Puig Garrich,male,ESP,1.84,78.0,30,200,54.31,108.62
124573287,Albert Subirats,male,VEN,1.9,85.0,38,1500,64.79,971.87
124573287,Albert Subirats,male,VEN,1.9,85.0,38,200,55.91,111.82
220269839,Alberto Munarriz Egana,male,ESP,1.98,105.0,30,1500,64.85,972.77
400375379,Alejandra Orozco,female,MEX,1.57,56.0,27,400,58.87,235.46
299839075,Aleksandar IVOVIC,male,MNE,1.97,107.0,38,800,66.97,535.76
299839075,Aleksandar IVOVIC,male,MNE,1.97,107.0,38,200,59.45,118.9
299839075,Aleksandar IVOVIC,male,MNE,1.97,107.0,38,1500,69.61,1044.16
156829148,Aleksandar Nikolov,male,BUL,1.85,75.0,32,400,55.98,223.9
156829148,Aleksandar Nikolov,male,BUL,1.85,75.0,32,200,53.5,106.99
156829148,Aleksandar Nikolov,male,BUL,1.85,75.0,32,800,63.78,510.21
39610779,Aleksandar RADOVIC,male,MNE,1.91,98.0,37,800,66.15,529.19
39610779,Aleksandar RADOVIC,male,MNE,1.91,98.0,37,200,59.2,118.39
150706476,Aleksandr Krasnykh,male,RUS,1.88,80.0,29,200,55.42,110.85
26501082,Aleksandr Popkov,male,RUS,1.85,80.0,30,200,55.25,110.49
26501082,Aleksandr Popkov,male,RUS,1.85,80.0,30,400,55.27,221.1
26501082,Aleksandr Popkov,male,RUS,1.85,80.0,30,800,61.7,493.62
442737224,Aleksandr Sadovnikov,male,RUS,1.93,85.0,28,400,57.98,231.93
442737224,Aleksandr Sadovnikov,male,RUS,1.93,85.0,28,800,57.64,461.08
442737224,Aleksandr Sadovnikov,male,RUS,1.93,85.0,28,200,55.06,110.13
928101165,Aleksandra Cotti,female,ITA,1.67,65.0,36,800,67.65,541.2
598990857,Aleksandra Patskevich,female,RUS,1.69,49.0,36,800,63.68,509.45
598990857,Aleksandra Patskevich,female,RUS,1.69,49.0,36,200,56.84,113.67
598990857,Aleksandra Patskevich,female,RUS,1.69,49.0,36,1500,67.64,1014.59
146965989,Aleksandra Urbanczyk,female,POL,1.72,64.0,37,800,66.93,535.41
282139882,Aleksei Brianskii,male,RUS,1.92,82.0,27,400,56.54,226.16
282139882,Aleksei Brianskii,male,RUS,1.92,82.0,27,800,61.03,488.25
213338722,Alessandro Nora,male,ITA,1.91,85.0,37,200,57.24,114.49
346410285,Alessandro Velotto,male,ITA,1.86,85.0,29,800,61.94,495.51
346410285,Alessandro Velotto,male,ITA,1.86,85.0,29,400,58.76,235.04
767623428,Alessia Polieri,female,ITA,1.63,55.0,30,1500,68.19,1022.91
767623428,Alessia Polieri,female,ITA,1.63,55.0,30,200,56.8,113.6
334218519,Alex Bowen,male,USA,1.96,102.0,31,400,58.05,232.22
334218519,Alex Bowen,male,USA,1.96,102.0,31,1500,63.88,958.27
531765497,Alex Obert,male,USA,1.96,105.0,33,1500,66.74,1001.13
531765497,Alex Obert,male,USA,1.96,105.0,33,400,59.48,237.91
531765497,Alex Obert,male,USA,1.96,105.0,33,200,58.0,116.0
240862321,Alex Roelse,male,USA,2.04,115.0,29,200,58.74,117.48
240862321,Alex Roelse,male,USA,2.04,115.0,29,1500,66.06,990.91
240862321,Alex Roelse,male,USA,2.04,115.0,29,800,66.23,529.87
58596600,Alex Sobers,male,BAR,1.88,66.0,26,1500,61.75,926.2
58596600,Alex Sobers,male,BAR,1.88,66.0,26,400,54.38,217.52
893073673,Alex di Giorgio,male,ITA,1.85,75.0,34,200,56.06,112.11
893073673,Alex di Giorgio,male,ITA,1.85,75.0,34,400,56.69,226.77
893073673,Alex di Giorgio,male,ITA,1.85,75.0,34,800,63.02,504.19
484197906,Alexander Sukhorukov,male,RUS,1.96,93.0,36,800,64.97,519.77
484197906,Alexander Sukhorukov,male,RUS,1.96,93.0,36,1500,67.24,1008.6
338753895,Alexandra Nemich,female,KAZ,1.68,46.0,29,400,61.42,245.67
443690040,Alexandra Touretski,female,SUI,1.7,58.0,30,400,62.02,248.08
475551107,Alexandra Wenk,female,GER,1.8,63.0,29,400,58.31,233.24
538814395,Alexandre Camarasa,male,FRA,1.93,100.0,37,200,57.77,115.54
718560734,Alexandre Haldemann,male,SUI,1.86,81.0,29,200,55.33,110.67
718560734,Alexandre Haldemann,male,SUI,1.86,81.0,29,1500,61.76,926.4
350839117,Alexandres Gounas,male,GRE,1.79,73.0,35,1500,62.98,944.73
350839117,Alexandres Gounas,male,GRE,1.79,73.0,35,200,53.75,107.49
350839117,Alexandres Gounas,male,GRE,1.79,73.0,35,800,63.19,505.56
621322055,Alexei Sancov,male,MDA,1.88,85.0,25,1500,65.51,982.63
621322055,Alexei Sancov,male,MDA,1.88,85.0,25,200,54.83,109.65
166278707,Alexis Santos,male,POR,1.85,74.0,32,1500,61.45,921.69
166278707,Alexis Santos,male,POR,1.85,74.0,32,400,58.46,233.83
860974311,Alexus Laird,female,SEY,1.72,61.0,31,200,58.96,117.93
860974311,Alexus Laird,female,SEY,1.72,61.0,31,800,61.92,495.35
732766543,Ali Khalafalla,male,EGY,1.82,78.0,28,1500,65.86,987.91
732766543,Ali Khalafalla,male,EGY,1.82,78.0,28,200,54.08,108.17
732766543,Ali Khalafalla,male,EGY,1.82,78.0,28,800,61.07,488.57
76451177,Alia Atkinson,female,JAM,1.73,71.0,36,200,60.27,120.54
68967384,Aliaksandra Herasimenia,female,BLR,1.74,58.0,39,800,63.5,508.0
200278263,Alice Mizzau,female,ITA,1.8,65.0,31,1500,66.94,1004.07
598475958,Alicia Blagg,female,GBR,1.65,65.0,28,1500,64.96,974.45
598475958,Alicia Blagg,female,GBR,1.65,65.0,28,400,56.86,227.45
598475958,Alicia Blagg,female,GBR,1.65,65.0,28,200,57.18,114.36
556923374,Alicia Coutts,female,AUS,1.76,69.0,37,400,61.59,246.36
284199636,Alicja Tchorz,female,POL,1.76,68.0,32,800,65.01,520.06
667093236,Alin Coste,male,ROU,2.01,95.0,32,1500,63.58,953.69
667093236,Alin Coste,male,ROU,2.01,95.0,32,400,58.88,235.51
667093236,Alin Coste,male,ROU,2.01,95.0,32,200,55.67,111.34
848336898,Alla Shishkina,female,RUS,1.7,56.0,35,800,64.02,512.16
848336898,Alla Shishkina,female,RUS,1.7,56.0,35,1500,68.28,1024.14
146313505,Allan Gutierrez,male,HON,1.78,79.0,31,400,58.81,235.23
846754382,Allan do carmo,male,BRA,1.74,73.0,35,400,57.52,230.1
846754382,Allan do carmo,male,BRA,1.74,73.0,35,1500,62.7,940.5
944908522,Allison Schmitt,female,USA,1.86,74.0,34,1500,68.82,1032.36
742474119,Allyson Ponson,female,ARU,1.65,60.0,29,1500,69.51,1042.62
742474119,Allyson Ponson,female,ARU,1.65,60.0,29,800,62.98,503.83
673430,Alona Ribakova,female,LAT,1.76,63.0,33,200,54.84,109.68
461802696,Alzbeta Dufkova,female,CZE,1.72,65.0,34,1500,70.72,1060.83
461802696,Alzbeta Dufkova,female,CZE,1.72,65.0,34,800,63.41,507.25
401938001,Amadou Camara,male,GUI,1.63,69.0,30,800,59.47,475.74
401938001,Amadou Camara,male,GUI,1.63,69.0,30,400,57.63,230.53
936271742,Amanda Oliveira,female,BRA,1.69,58.0,37,800,66.79,534.33
936271742,Amanda Oliveira,female,BRA,1.69,58.0,37,1500,69.01,1035.14
936271742,Amanda Oliveira,female,BRA,1.69,58.0,37,200,55.97,111.95
118871166,Amanda Weir,female,USA,1.88,77.0,38,400,65.56,262.24
36505645,Amelia Cozad,female,USA,1.61,51.0,33,400,60.5,242.01
36505645,Amelia Cozad,female,USA,1.61,51.0,33,1500,66.15,992.19
36505645,Amelia Cozad,female,USA,1.61,51.0,33,800,63.77,510.14
678578041,Amie Thompson,female,AUS,1.67,58.0,28,200,55.42,110.84
678578041,Amie Thompson,female,AUS,1.67,58.0,28,800,62.28,498.21
689435497,Amina Kajtaz,female,BIH,1.73,62.0,28,800,64.71,517.72
689435497,Amina Kajtaz,female,BIH,1.73,62.0,28,1500,67.11,1006.69
435929879,Amini Tuitavake Fonua,male,TGA,1.86,80.0,35,800,62.96,503.7
435929879,Amini Tuitavake Fonua,male,TGA,1.86,80.0,35,400,56.4,225.59
364715226,Amit Ivry,female,ISR,1.7,65.0,35,200,57.07,114.14
364715226,Amit Ivry,female,ISR,1.7,65.0,35,400,59.6,238.4
364715226,Amit Ivry,female,ISR,1.7,65.0,35,800,66.44,531.56
238039408,Ammara Pinto,female,MAW,1.63,61.0,27,400,58.3,233.2
238039408,Ammara Pinto,female,MAW,1.63,61.0,27,1500,64.23,963.4
238039408,Ammara Pinto,female,MAW,1.63,61.0,27,800,62.75,502.01
209671126,Ana Iulia Dascal,female,ROU,1.83,60.0,22,1500,70.32,1054.81
69147633,Ana Marcela Cunha,female,BRA,1.65,66.0,32,400,60.58,242.33
69147633,Ana Marcela Cunha,female,BRA,1.65,66.0,32,800,66.68,533.41
69147633,Ana Marcela Cunha,female,BRA,1.65,66.0,32,1500,68.36,1025.33
872791807,Ana Sofia Nobrega,female,ANG,1.74,70.0,34,200,59.42,118.84
872791807,Ana Sofia Nobrega,female,ANG,1.74,70.0,34,1500,66.33,994.98
872791807,Ana Sofia Nobrega,female,ANG,1.74,70.0,34,800,65.35,522.8
241768985,Anabelle Smith,female,AUS,1.68,55.0,31,400,60.9,243.58
630467842,Anastasia Bogdanovski,female,MKD,1.74,57.0,31,400,60.82,243.28
301110204,Anastasia Gloushkov Leventhal,female,ISR,1.65,53.0,39,200,55.86,111.73
301110204,Anastasia Gloushkov Leventhal,female,ISR,1.65,53.0,39,1500,71.66,1074.83
329483647,Anastasia Simanovich,female,RUS,1.74,69.0,29,400,61.34,245.36
329483647,Anastasia Simanovich,female,RUS,1.74,69.0,29,1500,69.46,1041.85
329483647,Anastasia Simanovich,female,RUS,1.74,69.0,29,800,63.77,510.16
102993308,Anastasiia Fesikova,female,RUS,1.82,71.0,34,200,59.27,118.53
102993308,Anastasiia Fesikova,female,RUS,1.82,71.0,34,1500,70.69,1060.37
572715750,Anastasiia Krapivina,female,RUS,1.7,56.0,30,400,58.78,235.14
572715750,Anastasiia Krapivina,female,RUS,1.7,56.0,30,1500,65.5,982.55
572715750,Anastasiia Krapivina,female,RUS,1.7,56.0,30,200,58.54,117.08
766355560,Anastasiia Nedobiga,female,UKR,1.62,50.0,30,1500,63.0,945.07
766355560,Anastasiia Nedobiga,female,UKR,1.62,50.0,30,400,61.42,245.66
766355560,Anastasiia Nedobiga,female,UKR,1.62,50.0,30,200,55.61,111.21
830248205,Anastasiya Savchuk,female,UKR,1.77,60.0,28,1500,66.15,992.3
830248205,Anastasiya Savchuk,female,UKR,1.77,60.0,28,800,65.07,520.53
711528333,Anastasiya Tyurina,female,TJK,1.65,50.0,23,800,62.96,503.65
775627135,Andelo Setka,male,CRO,1.86,87.0,39,400,60.47,241.86
775627135,Andelo Setka,male,CRO,1.86,87.0,39,800,65.67,525.33
775627135,Andelo Setka,male,CRO,1.86,87.0,39,200,58.08,116.17
449230343,Anders Lie Nielsen,male,DEN,1.86,74.0,33,800,63.36,506.84
449230343,Anders Lie Nielsen,male,DEN,1.86,74.0,33,400,58.59,234.36
449230343,Anders Lie Nielsen,male,DEN,1.86,74.0,33,200,54.96,109.92
